audio,output,flag,username,timestamp
flagged/audio/f331dbb5b05672ea663e/bata_for_1.wav,Бата!,,,2024-05-07 10:06:13.595488
flagged/audio/fd633f7a91cde93ab684/caca_for_1.wav,Кака!,,,2024-05-07 10:08:11.169807
flagged/audio/6741c813fd123dc740dc/bata_for_1.wav,Bata,,,2024-05-07 10:11:50.316746
flagged/audio/bf161d6899c23db4976e/caca_for_1.wav,Caca.,,,2024-05-07 10:12:14.196193
flagged/audio/9d6863052a987f53c6d6/caca_for_1.wav,Caca.,,,2024-05-07 10:12:34.881364
flagged/audio/54461652009dbb9911f0/cara_for_1.wav,Cata.,,,2024-05-07 10:12:50.463153
flagged/audio/a6068da74bc6f94dfd88/cata_for_1.wav,¡Cata!,,,2024-05-07 10:13:05.295524
flagged/audio/a73cb8705b29eb71dc46/paca_for_1.wav,Baca.,,,2024-05-07 10:13:14.880043
flagged/audio/7ef9cb46c882d1901ce0/para_for_1.wav,Para.,,,2024-05-07 10:13:26.312907
flagged/audio/eb65f0dfd7dea7374fff/pata_for_1.wav,¡Bata!,,,2024-05-07 10:13:35.376518
flagged/audio/70d682010b82153a29a1/vaca_for_1.wav,Baca.,,,2024-05-07 10:13:44.379341
flagged/audio/bdbd03629e258344a172/vara_for_1.wav,Bara,,,2024-05-07 10:13:59.779911
